Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
34003,2702,618,53,35,9999,0,1810,0,3601,6517,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4440,1666,0,34,52,57,60,59,34,28,31,31,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,125,82,84,145,3,3,93,6,1,9,12,24,3,2,86,0,0,0,0,101,0,0,0
35003,2702,618,53,35,9999,0,1726,0,3601,6215,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4369,1601,0,33,59,50,47,47,31,25,33,25,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,134,80,80,146,2,3,93,5,1,9,12,25,3,2,86,0,0,0,0,101,0,0,0
36003,2702,618,53,35,9999,0,1713,0,3601,6168,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4444,1545,0,28,52,47,47,42,15,28,19,28,44,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,139,81,79,155,2,3,93,6,1,9,12,24,3,2,86,0,0,0,0,101,0,0,0
37003,2702,618,53,35,9999,0,1582,0,3601,5696,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4553,1605,0,23,47,52,52,50,21,23,21,25,46,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,134,85,85,161,3,3,93,6,1,9,12,25,4,2,86,0,0,0,0,101,0,0,0
38025,2695,616,53,35,9999,0,1595,0,3601,5743,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4473,1667,0,33,47,47,44,57,33,11,27,19,45,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,124,82,82,144,2,3,94,5,1,9,12,24,3,2,86,0,0,0,0,101,0,0,0
39004,2695,616,53,35,9999,0,1639,0,3601,5902,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4436,1539,0,28,50,42,42,47,19,28,28,30,46,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,129,81,80,145,2,3,94,5,1,10,12,25,3,2,86,0,0,0,0,101,0,0,0
40004,2695,616,53,35,9999,0,1579,0,3601,5685,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4600,1623,0,38,90,89,94,90,31,38,30,28,46,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,134,81,80,150,3,3,93,6,1,9,11,24,3,2,86,0,0,0,0,101,0,0,0
41004,2695,616,53,35,9999,0,1679,0,3601,6046,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4496,1607,0,25,69,69,71,80,21,25,25,25,45,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,137,84,88,161,3,3,93,6,1,10,12,24,3,2,86,0,0,0,0,101,0,0,0
42004,2695,616,53,35,9999,0,1657,0,3601,5966,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4332,1681,0,28,57,64,69,85,28,28,25,27,44,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,128,82,81,148,2,3,94,5,1,8,12,25,3,2,86,0,0,0,0,101,0,0,0
43004,2695,616,53,35,9999,0,1625,0,3601,5851,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4445,1553,0,27,47,36,42,47,27,25,23,19,45,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,125,81,82,143,2,3,93,6,1,9,12,25,3,2,86,0,0,0,0,101,0,0,0
44004,2695,616,53,35,9999,0,1583,0,3619,5728,5,4,1478,525,2000,1,0,1,72,72,29,1,0,0,0,0,1440,1584,4668,1641,0,36,47,50,47,50,23,22,36,19,46,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,134,82,81,151,3,3,93,6,1,10,12,25,4,2,86,0,0,0,0,101,0,0,0
45004,2695,616,53,35,9999,0,1726,0,3619,6246,5,4,1478,525,2000,1,0,1,73,72,30,0,0,0,0,0,1440,1584,4377,1715,0,33,56,50,52,50,19,33,33,16,45,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,138,83,75,157,2,3,94,5,1,9,12,26,4,2,86,0,0,0,0,101,0,0,0
46004,2695,616,53,35,9999,0,1596,0,3619,5775,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4279,1678,0,28,47,42,38,41,19,23,28,14,45,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,154,76,76,152,2,3,94,5,1,9,12,25,4,2,86,0,0,0,0,101,0,0,0
47004,2695,616,53,35,9999,0,1573,0,3619,5692,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4565,1550,0,25,52,42,39,42,25,22,19,27,45,0,0,11599,752,0,541,64,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,145,77,75,147,2,3,94,5,1,9,12,25,5,2,86,0,0,0,0,101,0,0,0
